GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0.07,0.0145454545454545,3063,113.56
0.04,0.01,20363,732.768
0.1,0.0154545454545455,3338,107.204
0.04,0.00909090909090909,23674,827.509
0.5,0.00272727272727273,208,6.458
0.07,0.0136363636363636,4776,165.129
0.02,0.00818181818181818,35436,1474.967
0.09,0.0154545454545455,3298,106.098
0.5,0.00363636363636364,206,7.095
0.05,0.01,13061,467.502
0.08,0.0127272727272727,4217,146.895
0.12,0.0145454545454545,1436,48.966
0.11,0.0154545454545455,2747,87.723
0.14,0.0190909090909091,1211,38.768
0.12,0.0163636363636364,914,29.643
0.08,0.0154545454545455,1337,47.192
0.12,0.0181818181818182,1748,56.669
0.09,0.0145454545454545,3400,106.061
0.15,0.0181818181818182,558,19.03
0.15,0.0163636363636364,811,31.098
0.11,0.0172727272727273,1475,44.038
0.15,0.0218181818181818,387,13.799
0.15,0.0190909090909091,1259,43.488
0.09,0.0172727272727273,2432,76.61
0.13,0.0209090909090909,990,35.154
0.13,0.0172727272727273,992,37.543
0.14,0.0154545454545455,1582,38.428
0.16,0.0145454545454545,851,23.294
0.14,0.0181818181818182,1375,45.358
0.15,0.0154545454545455,1836,55.589
0.11,0.0163636363636364,1919,78.63
0.5,0.00454545454545455,167,6.819
0.07,0.0127272727272727,5754,194.844
0.5,0.00545454545454545,172,7.834
0.5,0.00909090909090909,62,3.572
0.5,0.00727272727272727,65,3.428
0.51,0.000909090909090909,141,3.317
0.04,0.0109090909090909,14300,538.595
0.32,0.00727272727272727,70,2.27
0.42,0.0127272727272727,36,1.925
0.46,0.0109090909090909,25,1.56
0.47,0.0145454545454545,19,0.982
0.5,0.01,56,3.254
0.5,0.00636363636363636,65,3.358
0.06,0.01,12220,423.251
0.4,0.0109090909090909,61,2.7
0.44,0.01,17,0.747
0.46,0.0127272727272727,18,0.919
0.06,0.0145454545454545,3709,125.609
0.01,0.00545454545454545,35381,1519.651
0.11,0.0190909090909091,1013,32.301
0.11,0.0209090909090909,631,23.444
0.13,0.0254545454545455,451,17.914
0.12,0.0218181818181818,1136,44.962
0.1,0.0209090909090909,1194,51.935
0.13,0.0245454545454545,337,11.898
0.12,0.0209090909090909,943,32.055
0.07,0.0163636363636364,1466,48.745
0.03,0.0109090909090909,27692,1110.501
0.05,0.0136363636363636,5683,213.599
0.05,0.0145454545454545,3815,148.916
0.05,0.0127272727272727,7444,261.323
0.12,0.0154545454545455,1469,52.592
0.13,0.0154545454545455,952,33.888
0.11,0.0181818181818182,981,36.321
0.13,0.0236363636363636,666,22.494
0.11,0.0136363636363636,2768,69.447
0.11,0.0236363636363636,954,33.185
0.15,0.0290909090909091,138,6.203
0.14,0.0254545454545455,142,5.389
0.1,0.0236363636363636,145,7.088
0.14,0.0281818181818182,232,12.334
0.14,0.0236363636363636,597,21.163
0.15,0.01,1728,44.978
0.14,0.0145454545454545,1191,36.316
0.09,0.0163636363636364,3143,105.941
0.13,0.02,1253,47.903
0.13,0.0118181818181818,2575,72.661
0.23,0.00909090909090909,299,8.892
0.09,0.0190909090909091,1146,45.984
0.15,0.0209090909090909,512,17.791
0.08,0.0181818181818182,1171,40.828
0.07,0.0172727272727273,1064,37.572
0.09,0.0218181818181818,910,37.333
0.1,0.0218181818181818,377,13.313
0.1,0.0190909090909091,693,29.126
0.24,0.00909090909090909,437,12.377
0.13,0.0181818181818182,1069,30.359
0.15,0.0263636363636364,304,15.973
0.15,0.0272727272727273,516,16.86
